horizon,lags,rmse,mae,forecast,actual
1,1,0.1656395245087289,0.1656395245087289,"['[\'[""[\\\'[np.float64(2.4106861142073686)]\\\']"", \\\'[np.float64(2.4106861142073686)]\\\']\']']","['[\'[""[\\\'[np.float64(2.5763256387160975)]\\\']"", \\\'[np.float64(2.5763256387160975)]\\\']\']']"
1,2,0.2398108314191662,0.2398108314191662,"['[\'[""[\\\'[np.float64(2.3365148072969313)]\\\']"", \\\'[np.float64(2.3365148072969313)]\\\']\']']","['[\'[""[\\\'[np.float64(2.5763256387160975)]\\\']"", \\\'[np.float64(2.5763256387160975)]\\\']\']']"
1,3,0.1976341180885463,0.1976341180885463,"['[\'[""[\\\'[np.float64(2.378691520627551)]\\\']"", \\\'[np.float64(2.378691520627551)]\\\']\']']","['[\'[""[\\\'[np.float64(2.5763256387160975)]\\\']"", \\\'[np.float64(2.5763256387160975)]\\\']\']']"
1,4,0.1909318541062754,0.1909318541062754,"['[\'[""[\\\'[np.float64(2.385393784609822)]\\\']"", \\\'[np.float64(2.385393784609822)]\\\']\']']","['[\'[""[\\\'[np.float64(2.5763256387160975)]\\\']"", \\\'[np.float64(2.5763256387160975)]\\\']\']']"
1,5,0.2075867843139733,0.2075867843139733,"['[\'[""[\\\'[np.float64(2.368738854402124)]\\\']"", \\\'[np.float64(2.368738854402124)]\\\']\']']","['[\'[""[\\\'[np.float64(2.5763256387160975)]\\\']"", \\\'[np.float64(2.5763256387160975)]\\\']\']']"
1,6,0.2075736430537418,0.2075736430537418,"['[\'[""[\\\'[np.float64(2.3687519956623557)]\\\']"", \\\'[np.float64(2.3687519956623557)]\\\']\']']","['[\'[""[\\\'[np.float64(2.5763256387160975)]\\\']"", \\\'[np.float64(2.5763256387160975)]\\\']\']']"
1,7,0.2187286159823789,0.2187286159823789,"['[\'[""[\\\'[np.float64(2.3575970227337186)]\\\']"", \\\'[np.float64(2.3575970227337186)]\\\']\']']","['[\'[""[\\\'[np.float64(2.5763256387160975)]\\\']"", \\\'[np.float64(2.5763256387160975)]\\\']\']']"
1,8,0.1954746474441151,0.1954746474441151,"['[\'[""[\\\'[np.float64(2.3808509912719824)]\\\']"", \\\'[np.float64(2.3808509912719824)]\\\']\']']","['[\'[""[\\\'[np.float64(2.5763256387160975)]\\\']"", \\\'[np.float64(2.5763256387160975)]\\\']\']']"
1,9,0.1963039219362787,0.1963039219362787,"['[\'[""[\\\'[np.float64(2.3800217167798188)]\\\']"", \\\'[np.float64(2.3800217167798188)]\\\']\']']","['[\'[""[\\\'[np.float64(2.5763256387160975)]\\\']"", \\\'[np.float64(2.5763256387160975)]\\\']\']']"
1,10,0.2083560166684517,0.2083560166684517,"['[\'[""[\\\'[np.float64(2.367969622047646)]\\\']"", \\\'[np.float64(2.367969622047646)]\\\']\']']","['[\'[""[\\\'[np.float64(2.5763256387160975)]\\\']"", \\\'[np.float64(2.5763256387160975)]\\\']\']']"
