forecast_horizon,context_window,dropout_rate,rmse,mae,forecast,actual
4,1,0.0,0.5907945548382543,0.5461332504723025,"[np.float32(3.103725), np.float32(3.1670408), np.float32(3.1984162), np.float32(3.2139828)]","[2.923565791719739, 2.591226929948028, 2.4075134727031213, 2.5763256387160975]"
4,1,0.1,0.4926224252588923,0.4472774569961978,"[np.float32(3.0376472), np.float32(3.0695698), np.float32(3.0860212), np.float32(3.0945034)]","[2.923565791719739, 2.591226929948028, 2.4075134727031213, 2.5763256387160975]"
4,1,0.2,0.3927915744228768,0.3458858435127688,"[np.float32(2.9721754), np.float32(2.9705932), np.float32(2.9698684), np.float32(2.9695382)]","[2.923565791719739, 2.591226929948028, 2.4075134727031213, 2.5763256387160975]"
4,1,0.3,0.4012237876286913,0.3545872275803042,"[np.float32(2.9780002), np.float32(2.9791746), np.float32(2.9797583), np.float32(2.9800477)]","[2.923565791719739, 2.591226929948028, 2.4075134727031213, 2.5763256387160975]"
4,2,0.0,0.7558481631247566,0.7231558864090396,"[np.float32(3.318918), np.float32(3.2678742), np.float32(3.4006956), np.float32(3.4037676)]","[2.923565791719739, 2.591226929948028, 2.4075134727031213, 2.5763256387160975]"
4,2,0.1,0.7941672303909281,0.7613562052223636,"[np.float32(3.3477192), np.float32(3.3029552), np.float32(3.4434195), np.float32(3.4499629)]","[2.923565791719739, 2.591226929948028, 2.4075134727031213, 2.5763256387160975]"
4,2,0.2,0.6109601147646013,0.5799766485664798,"[np.float32(3.2156622), np.float32(3.1493423), np.float32(3.2325678), np.float32(3.220966)]","[2.923565791719739, 2.591226929948028, 2.4075134727031213, 2.5763256387160975]"
4,2,0.3,0.9831650303027204,0.9467464988205386,"[np.float32(3.4789858), np.float32(3.4570084), np.float32(3.6608214), np.float32(3.6888022)]","[2.923565791719739, 2.591226929948028, 2.4075134727031213, 2.5763256387160975]"
4,4,0.0,1.7861336401830217,1.7648569648239567,"[np.float32(4.277174), np.float32(4.2710776), np.float32(4.3835726), np.float32(4.6262355)]","[2.923565791719739, 2.591226929948028, 2.4075134727031213, 2.5763256387160975]"
4,4,0.1,1.774696894909768,1.7531936471435978,"[np.float32(4.262166), np.float32(4.2632604), np.float32(4.3763046), np.float32(4.6096754)]","[2.923565791719739, 2.591226929948028, 2.4075134727031213, 2.5763256387160975]"
4,4,0.2,1.6701679980958029,1.6502383058044865,"[np.float32(4.182858), np.float32(4.1717644), np.float32(4.266817), np.float32(4.4781456)]","[2.923565791719739, 2.591226929948028, 2.4075134727031213, 2.5763256387160975]"
4,4,0.3,1.7479725356995544,1.7255385224792912,"[np.float32(4.230714), np.float32(4.2316637), np.float32(4.3483696), np.float32(4.590039)]","[2.923565791719739, 2.591226929948028, 2.4075134727031213, 2.5763256387160975]"
4,6,0.0,1.751346175184824,1.7307287757370426,"[np.float32(4.227753), np.float32(4.298006), np.float32(4.403382), np.float32(4.492406)]","[2.923565791719739, 2.591226929948028, 2.4075134727031213, 2.5763256387160975]"
4,6,0.1,0.5730341407558455,0.5404306356880618,"[np.float32(3.1669466), np.float32(3.179808), np.float32(3.1812031), np.float32(3.1323967)]","[2.923565791719739, 2.591226929948028, 2.4075134727031213, 2.5763256387160975]"
4,6,0.2,0.5116393242773948,0.477148801562543,"[np.float32(3.1145663), np.float32(3.1197994), np.float32(3.1123474), np.float32(3.060514)]","[2.923565791719739, 2.591226929948028, 2.4075134727031213, 2.5763256387160975]"
4,6,0.3,0.476366215061143,0.4393735234711123,"[np.float32(3.0790827), np.float32(3.0844345), np.float32(3.0749798), np.float32(3.017629)]","[2.923565791719739, 2.591226929948028, 2.4075134727031213, 2.5763256387160975]"
4,12,0.0,0.6447076452195959,0.6205385630104495,"[np.float32(3.2677982), np.float32(3.257772), np.float32(3.2363112), np.float32(3.2189047)]","[2.923565791719739, 2.591226929948028, 2.4075134727031213, 2.5763256387160975]"
4,12,0.1,0.992208845652228,0.974550039050336,"[np.float32(3.599065), np.float32(3.6005619), np.float32(3.5959365), np.float32(3.6012685)]","[2.923565791719739, 2.591226929948028, 2.4075134727031213, 2.5763256387160975]"
4,12,0.2,0.6150251723193463,0.5900467340919925,"[np.float32(3.2402391), np.float32(3.2295969), np.float32(3.2049835), np.float32(3.1839993)]","[2.923565791719739, 2.591226929948028, 2.4075134727031213, 2.5763256387160975]"
4,12,0.3,0.6165349718955784,0.5917247240517093,"[np.float32(3.2427285), np.float32(3.2325444), np.float32(3.206383), np.float32(3.1838748)]","[2.923565791719739, 2.591226929948028, 2.4075134727031213, 2.5763256387160975]"
4,24,0.0,1.0102195571898236,0.9984557931396916,"[np.float32(3.6859694), np.float32(3.6328807), np.float32(3.598144), np.float32(3.575461)]","[2.923565791719739, 2.591226929948028, 2.4075134727031213, 2.5763256387160975]"
4,24,0.1,0.259941062015385,0.2179802958939029,"[np.float32(2.9577274), np.float32(2.8919053), np.float32(2.8073454), np.float32(2.713575)]","[2.923565791719739, 2.591226929948028, 2.4075134727031213, 2.5763256387160975]"
